store_id,name,address,suburb,chain?,website_url,phone_number,lat,lng,apportioned_pop,pop_density_per_sqkm
STR_0070,Petbarn Gungahlin,Tenancy 4/35 Crinigan Cir,Gungahlin,True,https://www.petbarn.com.au/store-finder/gungahlin?utm_content=local_seo,(02) 8397 7909,-35.18332669999999,149.1279754,57772.46958011085,2043.28
STR_0071,Woofy and Whiskers,46 Gamban Square,Ngunnawal,True,http://www.woofyandwhiskers.com.au/,0402 391 151,-35.1747217,149.1098582,53087.0478761412,1877.57
STR_0072,Petzone,Shop 8/48 Gungahlin Pl,Gungahlin,False,http://petzoneau.com/,0451 994 576,-35.1826096,149.1351478,55104.11755919599,1948.91
STR_0073,SupaExpress,1/26 Kesteven St,Florey,True,https://www.supabarn.com.au/,(02) 6259 1188,-35.2263914,149.0544269,47141.546784193786,1667.29
STR_0074,Coles Kaleen,Kaleen Plaza Shopping Centre,Kaleen,True,http://www.coles.com.au/find-stores/coles/act/kaleen-plaza-4785,(02) 6204 8700,-35.2203794,149.1030921,32517.29981472604,1150.06
STR_0075,BIG W Gungahlin,Hibberson St,Gungahlin,True,https://www.bigw.com.au/store/0129/big-w-gungahlin?utm_source=google&utm_medium=organic&utm_campaign=googleplaces&utm_content=129,1300 411 875,-35.1860535,149.1337113,53898.28211649176,1906.26
STR_0076,Coles Gungahlin,Hibberson St &,Gungahlin,True,http://www.coles.com.au/find-stores/coles/act/gungahlin-803,(02) 6123 4500,-35.1864605,149.1358956,52230.911770370665,1847.29
STR_0077,Supabarn Casey,15 Kingsland Parade,Casey,True,http://www.supabarn.com.au/,(02) 6225 7270,-35.1747829,149.0952994,35337.14129987834,1249.8
STR_0078,Canine Culture,2/23 Raws Cres,Hume,True,http://www.canineculture.com.au/,0407 392 930,-35.3928889,149.1698912,3069.4117968907626,108.56
STR_0079,Petstock Country Brindabella,2 Johns Pl,Hume,True,https://brindabellastockfeed.com.au/,(02) 6260 2086,-35.3890525,149.1707165,3559.5972040151214,125.9
STR_0080,Gibbs Farm Centre,5/7 Kendall Ave,Crestwood,True,http://www.gibbsfarmcentre.com.au/,(02) 6297 3151,-35.3443431,149.2134326,21665.74963454472,766.27
